shooting_name,Season,salary_name
Jaylin Lindsey,2018,Jaylin Lindsey
Jean-Baptiste Pierazzi,2014,Jean Baptiste Pierazzi
Jean-Baptiste Pierazzi,2015,Jean Baptiste Pierazzi
Jeanderson,2015,Jeanderson Pereira
Jean-Marc Alexandre,2011,Jean-Marc Alexandre
Jeb Brovsky,2011,Jeb Brovsky
Jeb Brovsky,2012,Jeb Brovsky
Jeb Brovsky,2013,Jeb Brovsky
Jeb Brovsky,2014,Jeb Brovsky
Jeb Brovsky,2015,Jeb Brovsky
Jed Zayner,2011,Jed Zayner
Jed Zayner,2012,Jed Zayner
Jeferson Rodrigues Goncalves,2011,Jeferson
Jeff Attinella,2014,Jeff Attinella
Jeff Attinella,2015,Jeff Attinella
Jeff Attinella,2018,Jeff Attinella
Jeff Cunningham,2011,Jeffrey Cunningham
Jeff Larentowicz,2011,Jeff Larentowicz
Jeff Larentowicz,2012,Jeff Larentowicz
Jeff Larentowicz,2013,Jeff Larentowicz
